,Data,Open,High,Low,Close,Vol,MA_5,MA_21,SAR,BB_up,BB_mid,BB_low,OBV,macd,macdsignal,macdhist,fastk,fastd,RSI,MOM,TRIX,CCI,ADX,MA_9,MA_100,acao,resultado_valor,resultado_binario
1065,2018-01-29 16:15:00,84650.0,84775.0,84650.0,84735.0,36392,84660.0,84935.95238095238,72605.0,85470.63033273863,84921.25,84371.86966726137,4166276.0,-145.76399472999037,-125.71487284872762,-20.04912188126275,83.33333333333334,59.16265877420134,43.10239739117998,-45.0,0.02078510604859307,-31.555185108009677,17.48942386537684,84724.70065086041,84302.25,sell,10.0,1
1071,2018-01-29 17:45:00,84725.0,84940.0,84705.0,84880.0,29200,84804.0,84808.33333333333,72605.0,85157.6133114486,84788.0,84418.3866885514,4214742.0,-80.92093083147483,-108.84277222782853,27.9218413963537,67.94871794871796,49.145299145298985,50.33222405570699,230.0,0.011885996307237079,133.2136445242168,15.11052060018434,84781.81848741915,84447.75,sell,505.0,1
1079,2018-01-30 10:30:00,84570.0,84640.0,84485.0,84515.0,64272,84473.0,84641.19047619047,72605.0,84955.37224872214,84634.5,84313.62775127786,4273721.0,-124.04284382633341,-123.32526491337568,-0.7175789129577339,53.164556962025316,67.66450079109984,43.56298054647963,-300.0,0.0023274671403283875,-29.088378566451418,14.082983574081364,84544.46671716224,84599.9,call,-230.0,0
1094,2018-01-30 14:15:00,84300.0,84330.0,84090.0,84115.0,58147,84193.0,84359.52380952382,72605.0,84641.79750691444,84353.0,84064.20249308556,4045710.0,-138.9366030995734,-135.5478786211593,-3.3887244784141046,15.686274509803923,51.1522790934554,37.94451395805928,-170.0,-0.009719707899347174,-76.48187417953874,10.324750770666018,84238.70227887582,84836.45,call,10.0,1
1101,2018-01-30 16:00:00,84155.0,84155.0,84050.0,84100.0,49906,84123.0,84240.95238095238,72605.0,84497.40704713711,84228.5,83959.59295286289,4104629.0,-122.52869369510154,-132.03555119217305,9.506857497071508,28.205128205128204,47.082868821999085,41.0819319563568,-40.0,-0.013420115011797407,-89.82259570493126,9.391629280259426,84143.4923281549,84826.4,call,340.0,1
1133,2018-01-31 14:45:00,85770.0,85890.0,85590.0,85850.0,76726,85729.0,85951.90476190476,72605.0,86410.66956527588,85966.25,85521.83043472412,4370073.0,172.35899274772964,267.95251122885907,-95.59351848112942,87.5,48.78290941543933,57.06062019361764,-505.0,0.027356622134466768,-60.064412238321914,42.5262005665708,85818.29978419321,84973.25,sell,370.0,1
1139,2018-01-31 16:15:00,85480.0,85785.0,85470.0,85760.0,66245,85624.0,85877.38095238095,72605.0,86357.80269574659,85866.75,85375.69730425341,4182865.0,58.86888389782689,135.95291214821935,-77.08402825039246,79.3103448275862,36.69319186560545,53.939496698615585,-25.0,0.027979108303988198,-40.50137093615323,31.195548048176505,85687.75141862754,84990.25,sell,365.0,1
1151,2018-02-01 10:00:00,85075.0,85410.0,85065.0,85395.0,100813,85187.0,85493.09523809524,72605.0,85987.71059081015,85489.75,84991.78940918985,3921014.0,-110.37887092413439,-67.89902526733758,-42.47984565679681,55.609756097560975,40.97560975609734,48.426524753658036,-360.0,0.018484881653191287,-38.545454545456664,25.86301246766525,85294.25030971237,85004.8,sell,65.0,1
1160,2018-02-01 12:15:00,85120.0,85415.0,85085.0,85370.0,68868,85289.0,85402.14285714286,72605.0,85829.70743267653,85389.25,84948.79256732347,3894045.0,-57.74100051559799,-45.931370447556574,-11.809630068041415,57.65765765765766,32.820175225238295,48.24430333718093,290.0,0.011227058914031751,-31.487593203766487,27.470373172692053,85364.19563683288,85059.55,sell,-315.0,0
1169,2018-02-01 14:30:00,85520.0,85800.0,85475.0,85750.0,79066,85625.0,85475.95238095238,72605.0,85888.3626865526,85486.75,85085.1373134474,3918720.0,36.57101988350041,3.13989268019205,33.431127203308364,85.07462686567163,42.97008110134237,56.60940639924061,630.0,0.006830071847607755,100.81599347205433,29.449866181979896,85567.45801268323,85135.85,sell,-235.0,0
1207,2018-02-02 14:45:00,84345.0,84410.0,84205.0,84220.0,55060,84303.0,84350.0,72605.0,84624.73026246285,84344.5,84064.26973753715,3665135.0,-223.54148316917417,-269.8544275325472,46.31294436337305,33.333333333333336,58.903318903318684,38.90775864812865,-200.0,-0.023184510781593115,5.937672874795435,40.9761319316799,84290.66890676224,85355.35,call,500.0,1
